"Symbol","Name","last","change","changepercent","open","high","low","bid","ask","vwap","sharevolume","dividend yield","beta","marketcap","sharesoutstanding","eps","peratio","pbratio","week52high","week52low","week52highvwap","week52lowvwap","week52highvol","week52lowvol","week52avgvol"
"TRP.PR.A","TC Energy Corporation cumulative redeemable first preferred shares series 1",16.41,-0.26,-1.559688,16.5,16.5,16.38,16.4,16.57,16.4442147,12269,5.3,0.7484729886054993,239211589,14577184,,,,16.71,8.39,16.695,8.6985,191900,600,16033
"TMD","Titan Medical Inc.",2.17,-0.06,-2.690583,2.26,2.29,1.83,2.15,2.19,2.03430426,504139,,4.679055213928223,237668469,108919422,-0.460000008,-4.7,-13.562,4.41,0.16,4.0494,0.164,4715332,4706,250105
"JE","Just Energy Group Inc.",4.92,-0.17,-3.339882,5.04,5.13,4.54,4.89,4.95,4.8636066,585235,,1.2632659673690796,236546894,48078637,-41.0299987,-0.1,-1.098,41.25,4.31,39.1211,4.4435,4015883,1400,274193
"HOT.U","American Hotel Income Properties REIT LP",3.02,-0.07,-2.265372,2.93,3.02,2.83,2.83,4.33,2.94254237,5930,,3.3261210918426514,236263437,78484068,,-4,0.652,4.33,0.8,4.2778,0.899,71900,1,2815
"BPO.PR.G","Brookfield Office Properties Inc. Class AAA Preference Shares Series GG",21.44,0.07,0.327562,21.1,21.53,21.1,21.13,21.45,21.3488888,1800,5.655,1.0254230499267578,235840000,11000000,,,,21.83,11.69,21.7092,12.3138,119300,150,9642
"BMO.PR.Q","Bank of Montreal Series 25 Non-Cumulative 5-Year Rate Reset Class B Preferred Shares",25,0.03,0.120144,24.98,25,24.98,24.97,25,24.9836363,2200,1.805,0.4035089910030365,235640175,9425607,8.18999958,,,25.31,19.16,25.1357,19.9461,333636,100,9404
"FRX","Fennec Pharmaceuticals Inc.",9.28,0.14,1.531729,9.3,9.43,9.28,8.63,10.29,9.38638877,3640,,0.2566480040550232,235303996,25809684,-0.829999983,,11.6,14.08,6.29,13.2272,6.4941,24087,1,1579
"MFC.PR.Q","Manulife Financial Corporation Non-Cumulative Rate Reset Class 1 Shares Series 25",23.52,-0.08,-0.338983,23.8,23.9,23.52,23,23.9,23.7395652,2411,4.996,0.9165779948234558,235200000,10000000,,,,24.36,10.54,24.0977,10.6034,124300,100,9235
"SGY","Surge Energy Inc.",0.69,0.16,30.188679,0.57,0.72,0.57,0.69,0.7,0.635381167,9366608,,3.133976936340332,234451470,339784739,-2.51999998,-0.2,-23,0.86,0.15,0.8374,0.1528,9490959,98175,1300460
"PRV.UN","PRO Real Estate Investment Trust",6.04,-0.01,-0.165289,6.05,6.08,6,6.04,6.05,6.03561083,84733,7.45,1.7172210216522217,232446754,38543499,0.430000007,14.2,0.965,7.41,2.41,7.3431,2.7584,671906,14557,132482
