"Symbol","Name","last","change","changepercent","open","high","low","bid","ask","vwap","sharevolume","dividend yield","beta","marketcap","sharesoutstanding","eps","peratio","pbratio","week52high","week52low","week52highvwap","week52lowvwap","week52highvol","week52lowvol","week52avgvol"
"BEI.UN","Boardwalk Real Estate Investment Trust",37.8,0.39,1.042502,37.65,37.89,36.72,37.78,37.91,37.4484215,161201,2.648,1.7276779413223267,1928705234,46548948,-4.23999977,-8.9,0.671,48.94,15.81,47.9706,17.2045,815077,23947,204881
"TCL.A","Transcontinental Inc. Class A Subordinate Voting Shares",21.84,1.15,5.558241,20.86,21.88,20.79,21.38,21.87,21.4760845,241660,4.121,1.0710599422454834,1900629713,73050544,1.75999999,12.2,1.11,22.94,9.5,22.3759,9.8473,962308,71514,261485
"TIXT","TELUS International (Cda) Inc. Subordinate Voting Shares",36.45,1.2,3.404255,35.5,36.53,34.19,36.27,36.9,35.6095313,92536,,,1892929200,51932241,0.490000009,75,1.342,42,34,40.2791,35.1223,1556130,32570,16107
"KMP.UN","Killam Apartment Real Estate Investment Trust",18.19,0.2,1.111729,18.1,18.21,17.92,18.11,18.19,18.060596,305166,3.739,0.8455579876899719,1877432228,103320685,1.44000005,12.7,1.062,23.3,13.9,23.1559,14.5892,2120940,41315,318307
"FIH.U","Fairfax India Holdings Corporation Subordinate Voting Shares",12.39,0.09,0.731707,12.21,12.6,12.18,12.36,12.49,12.4295178,168500,,1.4029300212860107,1849191195,119248684,2.70000004,4.5,0.788,12.98,5.29,12.7707,5.7747,703191,4645,62016
"TCL.B","Transcontinental Inc. Class B Multiple Voting Shares",21.23,0,0,,,,15.97,22,21.266667,0,4.239,1.3518279790878296,1847544359,13974626,2.21000003,12.5,1.079,23.75,9.49,23.3567,10.34,19775,2,949
"IMG","IAMGOLD Corporation",3.88,0.1,2.645503,3.8,3.88,3.72,3.84,3.89,3.80854188,1327846,,0.9921690225601196,1844164000,475316176,0.109999999,34.3,0.591,7.08,2,6.9306,2.7437,8741554,225625,1917378
"ERO","Ero Copper Corp.",21.16,0.88,4.339251,20.68,21.17,19.95,21.15,21.2,20.5891918,306367,,2.473323106765747,1835967015,88101909,0.400000005,52.4,11.691,25.08,8.4,24.5827,9.6228,674413,46125,203391
"IFP","Interfor Corporation",27.42,1.1,4.179331,26.73,27.46,25.77,27.36,27.49,26.6155128,366237,,2.807620048522949,1808737075,65964153,4.17999982,6.4,1.674,30.81,4.75,29.328,5.1913,2721920,77442,413269
"GSY","goeasy Ltd.",121.59,-3.16,-2.533066,122.04,125.71,114.58,121.2,121.99,120.2388,109321,2.171,1.9933010339736938,1799653590,14881013,9.21000003,13.8,4.057,132.9,21.08,129.6772,24.6,607157,18070,104129
"CAS","Cascades Inc.",17.45,0.14,0.808781,17.44,17.54,17.22,17.4,17.5,17.4125835,296947,1.834,0.03834399953484535,1788039204,102281072,1.01999998,16.7,1.124,17.89,9.94,17.4915,10.4284,991727,77360,328009
"LB","Laurentian Bank of Canada",40.12,0.1,0.249875,40.01,40.37,39.92,40.04,40.15,40.1197255,361466,3.988,1.0916409492492676,1734711890,43240432,2.36999988,15.4,0.733,40.46,25.74,40.1198,26.1141,1665988,90273,317404
"CUF.UN","Cominar Real Estate Investment Trust",9.36,0.02,0.214133,9.43,9.45,9.26,9.32,9.4,9.36355289,374518,3.846,1.339648962020874,1707741603,182451026,-1.79999995,-5.2,0.627,14.83,6.77,14.6695,6.8589,2805625,77251,673581
"DCBO","Docebo Inc.",51.67,-0.33,-0.634615,51.5,52.18,47.22,50.85,52.12,49.5949192,260640,,1.4987579584121704,1689062228,32630536,-0.409999996,-141.4,29.526,86.64,10.31,82.9244,10.5901,513157,525,75677
"HCG","Home Capital Group Inc.",32.21,0.42,1.32117,31.98,32.37,31.19,32.08,32.27,31.8801406,309130,,1.8322559595108032,1680963691,51947834,3.35999989,9.4,1,33.57,13.67,32.9268,14.0298,1464506,50976,258862
"BBD.B","Bombardier Inc. Class B Subordinate Voting Shares",0.7,0.05,7.692307,0.66,0.7,0.63,0.68,0.7,0.670371598,27723433,,2.9493041038513184,1678322554,2128091942,-0.330000013,,-0.198,1.02,0.26,0.9685,0.2825,145559960,1176970,10634911
"NXE","NexGen Energy Ltd.",4.33,-0.1,-2.257336,4.6,4.62,4.05,4.32,4.36,4.2568152,3717609,,1.9120270013809204,1655561956,377821872,-0.159999996,-30.6,11.703,5.41,0.76,5.2373,0.7814,6096967,125681,1108463
"NWC","North West Company Inc.",33.11,1.18,3.695584,31.99,33.55,31.99,33.03,33.23,33.0527568,419656,4.349,0.3709140121936798,1615572419,48620248,2.54999995,13,3.375,36.92,16.06,36.6163,17.1425,1230980,28605,156109
"TPZ","Topaz Energy Corp.",14.3,-0.2,-1.37931,14.5,14.6,14.18,14.21,14.45,14.3421717,277209,5.594,0.5603070259094238,1608019928,112448946,-0.07,-219.2,2.055,15.74,12.82,15.2269,12.9999,3520589,16508,82297
"SOY","SunOpta Inc.",17.81,0.85,5.011793,17.11,17.89,15.71,17.8,17.82,16.8340437,492695,,2.256671905517578,1601790900,90630986,-0.159999996,-124.6,9.473,21.63,1.83,21.0642,2.0242,1574318,6098,111515
"WIR.UN","WPT Industrial Real Estate Investment Trust",19.19,-0.13,-0.672878,19.4,19.4,19.135,19.11,19.25,19.2274578,68051,5.02,1.3994899988174438,1597864446,83265474,,,1.12,20.75,8.86,20.3651,10.6674,4808522,12760,81764
"GLXY","Galaxy Digital Holdings Ltd.",17.41,-1.06,-5.739036,18.9,18.9,15,17.25,17.42,16.4022301,1173505,,2.723453998565674,1590377507,92527061,-2.63000011,-7.3,13.29,21.69,0.57,20.8154,0.6265,1470047,9474,384876
"NEXA","Nexa Resources S.A.",11.94,0.53,4.645048,11.26,11.94,11.26,0.01,12.48,11.5988888,900,2.811,1.650568962097168,1581321660,132438611,-6.23000001,-2.1,0.906,14.46,3.95,13.9796,4.066,18252,9,1370
"LNF","Leon's Furniture Limited",20.09,-0.11,-0.544554,20.09,20.11,19.68,19.99,20.1,19.9670504,23685,3.186,0.46064698696136475,1580086898,78562453,2.05999994,10,1.555,21.97,10.25,21.5512,10.6872,217747,1022,18557
"SSL","Sandstorm Gold Ltd.",8.05,0.32,4.139715,7.7,8.05,7.7,7.85,8.07,7.9710465,689729,,0.9886549711227417,1571788606,195253243,0.07,111.5,1.944,14.23,4.64,14.0029,5.7133,3319372,62713,568463
"FVI","Fortuna Silver Mines Inc.",8.47,-0.06,-0.7034,8.52,8.52,7.96,8.4,8.5,8.2919067,1017307,,1.382114052772522,1560137808,184195727,0.170000001,56.4,1.743,12.61,2.05,12.0133,2.6742,6916843,176895,1086895
"RUS","Russel Metals Inc.",25.02,0.77,3.175258,24.4,25.05,24.2,24.71,25.05,24.8335137,446833,6.075,1.681388020515442,1558631934,62295441,0.379999995,65.3,1.803,26.6,10.98,26.2644,11.4223,2015232,75931,285685
"CGO","Cogeco Inc. Subordinate Voting Shares",96.73,2.03,2.143611,94.88,96.73,94.8,95.89,97.07,95.8216582,22325,2.254,0.30404698848724365,1547859434,14399638,8.64000034,11,1.951,105.99,70.95,97.8144,73.8295,269814,3529,32689
"SEA","Seabridge Gold Inc.",20.84,-0.07,-0.334768,20.96,21.09,19.99,20.73,20.9,20.5455029,125729,,0.7360180020332336,1545715721,74200754,-0.079999998,-226.3,3.256,29,7.37,28.7408,9.0463,577742,10612,110354
"AX.UN","Artis Real Estate Investment Trust",11.26,0.08,0.715564,11.15,11.26,10.93,11.25,11.26,11.1407431,786446,4.94,1.2844560146331787,1511283116,133593711,0.029999999,385.7,0.715,13.58,5.41,13.4272,5.673,1453479,99799,408093
"ERF","Enerplus Corporation",6.79,0.36,5.598756,6.62,6.92,6.49,6.75,6.8,6.72975313,1825385,1.767,3.670192003250122,1511098204,256235100,-4.15999984,-1.5,2.817,6.93,1.62,6.7298,1.7549,5410176,342359,1681990
"CGG","China Gold International Resources Corp. Ltd.",3.79,0.3,8.595988,3.54,3.8,3.54,3.79,3.83,3.70473634,266568,,1.9453699588775635,1502408124,396413753,0.170000001,21.8,0.791,3.98,0.45,3.9008,0.4581,13640508,3915,278544
"BAD","Badger Daylighting Ltd.",42.73,1.23,2.963856,41.3,42.79,40.72,41.95,42.85,42.0728641,108025,1.404,1.2550890445709229,1489304498,34853838,1.12999999,37.8,4.303,43.67,18,43.4064,19.3254,1308012,15417,130229
"VET","Vermilion Energy Inc.",9.39,0.57,6.462585,9.44,9.73,9.04,9.31,9.39,9.36130483,4714944,,3.7169060707092285,1486437000,158764606,-9.30000019,-1,1.517,13.05,2.14,12.5426,2.5012,8356481,765432,2663134
"CS","Capstone Mining Corp.",3.6,0.19,5.571847,3.52,3.65,3.43,3.58,3.6,3.54942148,1478496,,2.3309879302978516,1471982832,408884120,0.029999999,106.6,1.494,4.18,0.34,4.0755,0.3464,3308790,10937,661286
"POU","Paramount Resources Ltd. Class A",10.93,0.26,2.436738,10.83,11.07,10.53,10.9,11.02,10.7711593,708354,,4.354555130004883,1466791977,134203717,-2.73000001,-4,0.86,11.85,0.82,11.5104,0.9688,2682577,50632,505636
"SCR","Score Media and Gaming Inc. Class A Subordinate Voting Shares",29,-0.23,-0.786863,29.43,29.74,24.01,29,29.57,26.8286609,832672,,2.705564022064209,1459950625,50320595,-1.20000004,-24.2,80.556,56.71,2.75,52.1368,2.9802,1852740,5409,191389
"ITP","Intertape Polymer Group Inc.",24.55,1.19,5.094178,24.45,24.9,23.9,24.52,24.55,24.4241464,547914,3.351,1.9525150060653687,1448687767,59027047,1.50999999,16.2,4.018,26.87,7.02,26.5578,7.5621,1650891,67381,260069
"DPM","Dundee Precious Metals Inc.",7.76,0.31,4.161074,7.47,7.76,7.36,7.76,7.79,7.5914922,708423,1.964,1.6962720155715942,1408518570,181405125,1.39999997,5.4,1.388,10.73,3.21,10.4462,3.932,9903201,85242,836617
"SIL","SilverCrest Metals Inc.",9.62,0.08,0.838574,9.56,9.73,9.13,9.58,9.75,9.48402322,480319,,1.5493910312652588,1388723614,144357964,-0.699999988,-15,6.589,16.38,4.5,15.8161,5.7836,3955322,64209,513238
"NGD","New Gold Inc.",2.04,0.05,2.512563,1.99,2.05,1.92,2.02,2.04,2.01480388,5927066,,1.8444199562072754,1388220000,680452327,-0.159999996,-13.4,1.388,3.05,0.56,2.9988,0.6677,24481681,127031,2541126
"EIF","Exchange Income Corporation",39.1,-0.22,-0.559512,39.8,39.8,37.38,39,39.22,38.5757516,125653,5.831,2.6037819385528564,1387720192,35491565,0.800000011,50.8,2.023,41.96,12.57,41.3138,15.038,989671,36506,176527
"JWEL","Jamieson Wellness Inc.",34.75,0.27,0.783063,34.61,34.78,33.97,34.58,34.78,34.6058031,309996,1.266,0.3975510001182556,1385583692,39876799,1.04999995,32.9,4.741,46.01,23.42,43.2873,24.1297,807380,22825,109703
"WPRT","Westport Fuel Systems Inc.",10.1,-0.66,-6.133829,10.61,10.74,8.81,10.04,10.16,9.67816885,1012504,,3.048466920852661,1384108828,134099788,-0.109999999,-116.5,13.467,16.49,1.02,15.6079,1.0994,2336873,9610,301366
"TXG","Torex Gold Resources Inc.",16.09,0.46,2.943058,15.79,16.1,15.53,16.07,16.15,15.8359689,268276,,0.9501619935035706,1376194868,85666336,1.57000005,10.2,1.148,25.53,8.79,24.8092,10.6889,1416280,51262,462271
"AND","Andlauer Healthcare Group Inc. Subordinate Voting Shares",36.59,0.11,0.301535,37.11,37.13,35.49,35,37.21,36.6469728,64053,0.547,0.47951000928878784,1375893770,12502805,1.00999999,37.4,14.578,50,19,48.2022,19.7106,318904,1542,32211
"ORL","Orocobre Limited",3.99,-0.3,-6.993007,4.28,4.28,3.89,3.97,4.02,4.03888583,244506,,1.9883619546890259,1372733788,210520500,,,1.59,5.74,1.61,5.6462,1.6793,405193,1496,72254
"CLS","Celestica Inc. Subordinate Voting Shares",10.51,0.15,1.447876,10.49,10.58,10.09,10.48,10.6,10.3924729,330310,,2.6410300731658936,1356841000,110450723,0.629999995,16.9,0.758,11.99,3.83,11.8107,4.0944,3419775,34572,257366
"VFF","Village Farms International Inc.",17.18,-0.63,-3.537338,18.3,18.3,15.44,17.14,17.23,16.6791288,792669,,4.212375164031982,1336928839,77818908,-0.079999998,-224.3,5.651,25.79,3.01,23.9638,3.1979,4893303,127346,854579
"REAL","Real Matters Inc.",15.52,-0.3,-1.896334,15.8,16.23,14.81,15.5,15.59,15.3471593,621527,,0.8514990210533142,1324771680,84152354,0.699999988,23.1,5.122,33.01,7.74,32.5085,9.4054,3997332,183664,622115
"KNT","K92 Mining Inc.",5.96,0.19,3.292894,5.89,6.08,5.81,5.87,6.04,5.93973202,951056,,1.1237000226974487,1304849364,219200097,0.330000013,18.7,6.274,8.95,1.55,8.8363,1.9508,17332311,102202,1020352
"MTY","MTY Food Group Inc.",52.74,0.7,1.345119,52.52,52.89,50.24,52.38,52.75,51.8474321,131859,,2.010982036590576,1303018753,24706461,-1.50999999,-35.3,2.239,58.87,14.23,58.0353,16.7013,1401608,23741,237715
"PYR","PyroGenesis Canada Inc.",8.02,0,0,7.98,8.24,6.88,8.01,8.05,7.50603562,927105,,2.530791997909546,1276350856,159420992,0.090000003,98.2,53.467,12.15,0.19,11.78,0.202,3573998,1000,457921
"TSU","Trisura Group Ltd.",123.59,-0.13,-0.105076,123.9,125.66,123.18,123.37,123.95,124.065215,56498,,-1.273934006690979,1269129520,10268869,3.35999989,36.8,4.378,130,34,126.4011,36.119,218784,2445,29916
"OGC","OceanaGold Corporation",1.8,-0.01,-0.552486,1.83,1.84,1.77,1.79,1.83,1.80376474,858943,,1.3670220375061035,1267200000,703991373,-0.310000002,-5.8,0.638,4.02,1.16,3.9322,1.2399,16069457,338480,2256334
"EIT.UN","Canoe EIT Income Fund",10.6,0.09,0.856327,10.48,10.61,10.45,10.59,10.6,10.5216604,366848,11.321,1.3008899688720703,1265682400,122534062,-0.670000016,-15.7,1.203,10.65,5.06,10.6083,5.5673,1428148,38823,257524
"WIR.U","WPT Industrial Real Estate Investment Trust",15.14,-0.07,-0.460224,15.15,15.3,15.11,15.1,15.14,15.1704079,53085,5.017,1.2349690198898315,1260639276,83265474,2.40000009,6.4,1.102,16.2,6.2,16.0627,7.3245,3221348,10082,135321
"PBL","Pollard Banknote Limited",48.5,0.76,1.591956,48,48.99,45.22,48.09,48.65,47.237984,39146,0.33,0.44808900356292725,1299929447,26797669,1,48.5,9.345,62.91,12.07,53.0702,13.2745,353734,64,15704
"UNC","United Corporations Limited",103.68,-0.82,-0.784689,103,103.68,102.3,103.75,104,103.222,630,1.157,0.6691820025444031,1254371754,12098493,17.5699996,6.1,0.608,110,74.81,110,75.4512,5672,1,1115
"WELL","WELL Health Technologies Corp.",7.63,-0.05,-0.651042,7.68,7.72,7.005,7.61,7.63,7.33541185,2030059,,1.2895820140838623,1236738315,163115496,-0.07,-126,14.396,9.85,1.21,9.3096,1.2531,5626601,75424,988216
"MRC","Morguard Corporation",110.75,0.25,0.226244,110.95,110.95,109.79,109.75,110.87,110.214074,2983,0.542,1.196153998374939,1230321750,11100142,-8.82999992,-12.3,0.365,208.73,95.06,204.7042,96.3521,105414,261,5912
"CYB","Cymbria Corporation",54,0.52,0.972326,53.39,54,53.39,53.5,54,53.4433858,12917,,0.6830199956893921,1228312782,16109410,-3.43000006,-15.3,1.121,54.16,36.41,53.5592,36.8924,142826,606,10842
"WTE","Westshore Terminals Investment Corporation",19.34,0.12,0.62435,19.22,19.45,18.87,19.24,19.42,19.2226349,158220,3.309,1.0751700401306152,1226909003,63257835,2.01999998,9.6,1.699,19.79,11.89,19.2875,12.5045,1311273,24756,231155
"SII","Sprott Inc.",48.75,0.85,1.77453,48.24,48.87,47.35,48.24,48.9,48.2923994,93954,2.566,1.3366080522537231,1215250481,25564227,1.5,31.7,3.381,57.53,19,56.2903,20.3504,947436,15157,81839
"LAS.A","Lassonde Industries Inc. Class A Subordinate Voting Shares",169.32,6.32,3.877301,164.99,169.32,163,164,169.89,165.887441,4737,1.536,-0.05011700093746185,1173983606,3180900,14.8100004,11.1,1.569,182.72,100.1,179.6825,104.8285,30735,134,2539
"CJR.B","Corus Entertainment Inc. Class B Non-Voting Shares",5.61,0.11,2,5.55,5.61,5.41,5.6,5.63,5.53246028,580157,4.278,1.7116999626159668,1168939195,204954666,-3.00999999,-1.8,1.204,5.74,1.78,5.6546,2.0361,9885401,176084,1092690
"ARE","Aecon Group Inc.",19.23,0.23,1.210526,18.99,19.25,18.77,19.2,19.25,19.0813664,237335,3.328,0.9687960147857666,1158027235,60284079,1.48000001,12.7,1.324,19.36,10.94,19.0814,11.2976,2027472,77339,303513
"CF","Canaccord Genuity Group Inc.",11.9,0.28,2.409639,11.81,11.91,11.48,11.79,11.93,11.7032513,335613,2.185,1.1842819452285767,1146950750,108029715,1.48000001,8.1,1.504,13.61,3.22,13.2586,3.457,1152596,48884,281021
"WDO","Wesdome Gold Mines Ltd.",8.21,0.04,0.489596,8.14,8.24,7.87,8.14,8.24,8.09753391,537091,,0.5665349960327148,1144474000,139412285,0.389999985,21.6,4.511,15,5.85,14.8093,6.3386,5862736,142546,637593
"SVM","Silvercorp Metals Inc.",6.5,-0.12,-1.812689,6.6,6.71,6.24,6.5,6.55,6.44527368,1026852,0.501,1.0182729959487915,1139828378,175358212,0.349999994,20.5,1.958,11.62,2.12,11.269,2.7185,5126117,140835,928308
"D.UN","Dream Office Real Estate Investment Trust",20.62,0.32,1.576355,20.35,20.705,20.23,20.5,20.67,20.4427787,376254,4.849,0.9543840289115906,1139119712,55059896,,16.5,0.621,36.25,15.21,35.8312,16.0815,1433734,57265,222200
"TRIL","Trillium Therapeutics Inc.",12.73,-0.24,-1.850424,13.06,13.32,11.79,12.39,12.87,12.5063956,286026,,1.9564419984817505,1128952832,84575524,-1.87,,-106.083,27.13,3.66,26.208,4.0428,2905997,36507,272848
"GDI","GDI Integrated Facility Services Inc. Subordinate Voting Shares",49.5,1.79,3.751834,46.4,49.67,46.4,48.51,49.68,48.6219216,34933,,0.8682460188865662,1124640000,13703556,1.37999999,33.2,3.491,49.67,24.2,48.622,24.9766,422837,905,16483
"ZZZ","Sleep Country Canada Holdings Inc.",30.55,-0.32,-1.036605,30.93,31.65,30.07,30.39,30.67,30.5737997,340552,2.553,1.7060860395431519,1120753603,36700764,1.38999998,20.1,3.317,31.74,7.75,30.9205,8.4602,1809327,14554,151153
"LGO","Largo Resources Ltd.",1.96,0.18,10.11236,1.77,1.96,1.75,1.94,1.98,1.83374676,1896581,,1.893002986907959,1110299728,644885698,-0.200000002,-192.3,3.92,2.19,0.57,2.0398,0.6173,7224459,13244,586362
"TC","Tucows Inc.",103.93,0.16,0.154187,104.1,105.36,101.27,92.01,105.7,102.893793,3110,,0.7012799978256226,1103729533,10615350,1.63999998,90.8,8.646,120.21,59.12,115.6665,61.0857,24218,50,3159
"MRE","Martinrea International Inc.",13.7,-1.5,-9.868421,14.68,14.96,13.09,13.65,13.75,13.599889,1460966,1.46,2.2465999126434326,1100029102,80294095,-0.280000001,-53.6,0.928,16.28,5.64,16.0392,6.0345,1460966,61263,272423
"EDR","Endeavour Silver Corp.",6.91,0.01,0.144928,6.8,7.02,6.45,6.89,6.91,6.75787252,929734,,1.700626015663147,1099730653,159150601,-0.349999994,882,5.441,8.64,1.3,8.3802,1.5788,4798094,69491,795698
"ET","Evertz Technologies Limited",14.09,0.18,1.294033,14.16,14.16,13.7,13.99,14.17,13.9386118,35792,5.11,0.671658992767334,1074846717,76284366,0.629999995,22.4,3.594,16.78,9.69,16.5776,10.1514,95093,5443,27740
"MTL","Mullen Group Ltd.",10.92,0.06,0.552486,11,11.11,10.7,10.85,10.96,10.9215425,355252,4.396,1.9653630256652832,1057624353,96852047,0.620000004,16.2,1.182,11.85,3.85,11.7584,4.0578,1828930,26608,404746
"FSZ","Fiera Capital Corporation Class A Subordinate Voting Shares",10.16,0.04,0.395257,10.16,10.2,9.87,10.14,10.19,10.0451551,356189,8.268,1.7817260026931763,1051937058,81896284,-0.009999999,,1.831,11.83,4.77,11.7417,5.0428,743657,41087,217664
"AT","AcuityAds Holdings Inc.",19.82,1.82,10.111111,17.84,20.12,16.2,19.8,19.9,18.5277979,1865328,,2.5647029876708984,1058824516,53516945,0.07,267.2,33.033,33.09,0.73,31.6109,0.7391,4518931,9731,595554
"RECP","Recipe Unlimited Corporation Subordinate Voting Shares",18.57,0,0,18.67,18.87,17.9,18.43,18.57,18.4874466,14548,,2.2569420337677,1046657660,22313377,-1.37,-13.6,4.011,18.9,7.45,18.4875,7.9323,213918,2407,41289
"XBC","Xebec Adsorption Inc.",6.85,-0.05,-0.724638,7.03,7.06,6.18,6.85,6.9,6.63598421,1890324,,1.2255769968032837,1041186163,152401217,-0.05,-152.8,12.018,11.56,1.74,11.3185,1.9907,2832394,82304,588302
"OSK","Osisko Mining Inc.",2.89,0.06,2.120141,2.86,2.92,2.84,2.88,2.89,2.88771996,657480,,1.0634599924087524,1032576209,357296139,-0.05,-53.5,1.497,4.85,1.67,4.7297,1.9191,36894071,149589,1259144
"TD.PF.H","Toronto-Dominion Bank 5-Year Rate Reset Preferred Shares Series 14",25.6,0,0,25.6,25.6,25.5,25.51,25.65,25.5283333,9219,4.736,0.8709539771080017,1024000000,40000000,,,,25.8,16.52,25.7353,16.9461,363700,400,27086
"TRP.PR.K","TC Energy Corporation cumulative redeemable minimum rate reset first pref shares Series 15",25.54,0.16,0.630418,25.38,25.54,25.38,25.38,25.55,25.4805504,11124,4.796,0.6276440024375916,1021600000,40000000,,,,26.12,16.46,25.5758,16.9472,639135,900,22240
"PEY","Peyto Exploration & Development Corp.",6.15,0.27,4.591837,5.93,6.18,5.78,6.13,6.18,5.97791879,1351780,0.65,2.3902039527893066,1014330828,165069227,-0.600000023,-10.3,0.645,6.24,0.92,6.0963,1.058,5525846,181465,1050874
"DRM","DREAM Unlimited Corp. Class A Subordinate Voting Shares",22.4,0.26,1.174345,22.25,22.47,21.54,22.3,22.4,22.1946093,611139,1.071,0.7308560013771057,1008267187,42523504,3.25999999,7,0.724,55.12,17.03,54.4621,17.2882,774932,8354,77046
"HUT","Hut 8 Mining Corp.",8.89,-0.41,-4.408602,9.29,9.48,7.24,8.8,8.93,8.35287819,2672267,,-5.392887115478516,997745360,113940770,-0.25,-35.6,24.027,15.98,0.51,13.0776,0.5814,15083410,21731,949680
"HEXO","HEXO Corp.",8.09,-0.19,-2.294686,8.38,8.38,7.08,8.09,8.12,7.75082276,2800686,,2.1684930324554443,989540744,122279290,-6.36000013,-1.4,1.79,14,2,12.9838,2.2217,8141906,106763,1429741
"OLA","Orla Mining Ltd",4.32,0.21,5.109489,4.13,4.32,3.99,4.3,4.35,4.2059035,600382,,1.7412190437316895,989133120,229880874,-0.159999996,-27,4.909,7.52,1.49,7.1754,1.585,10753359,49900,603268
"RFP","Resolute Forest Products Inc.",12.14,0.48,4.116638,11.77,12.19,11.28,11.98,12.5,11.8078138,68851,,3.163456916809082,981077335,80923053,-1.58000004,75.4,0.721,14.11,1.63,13.6277,1.7047,490124,4726,50448
"GATO","Gatos Silver Inc.",16,-0.44,-2.676399,16.65,16.65,15,16,16.05,15.687054,37376,,-3.211838960647583,946929216,59197824,,-18.4,6.13,31.08,7.77,22.8059,8.0555,240208,217,8990
"EFR","Energy Fuels Inc.",6.66,-0.12,-1.769912,7.06,7.15,5.78,6.61,6.66,6.41308673,1049563,,1.3520519733428955,923380189,134331953,-0.409999996,-19.1,4.826,8.78,1.11,7.9278,1.1743,2751733,45725,488254
"SIA","Sienna Senior Living Inc.",13.76,0.14,1.0279,13.72,13.76,13.36,13.73,13.78,13.5700231,304427,6.802,1.0571540594100952,922458332,67039123,-0.370000004,-38,2.063,17.71,8.86,17.6138,8.9595,1665682,119753,416257
"FRU","Freehold Royalties Ltd.",7.75,0.48,6.602476,7.6,8.1,7.6,7.73,7.75,7.79418736,1612187,4.645,2.3794689178466797,1018623839,131435334,-0.079999998,-99.6,1.544,8.11,2.3,7.7943,2.5619,4413695,139986,605043
"ACQ","AutoCanada Inc.",33.45,0.8,2.45023,32.76,33.62,31.86,32.99,33.59,32.9283143,192524,,2.686958074569702,910733215,27459683,-0.25999999,-128.7,2.663,34.28,4.6,33.0718,4.8766,727432,14670,186331
"PLC","Park Lawn Corporation",30.96,-0.11,-0.354039,31.28,31.28,30.55,30.77,30.98,30.8306414,111937,1.473,1.3233040571212769,914070408,29099341,0.439999997,69.4,1.704,32.46,15.58,32.0725,15.9557,686654,22463,105194
"CVG","Clairvest Group Inc.",60.65,0.15,0.247934,60.65,60.65,60.65,60.65,61.5,60.65,110,0.165,0.41660699248313904,913292021,15214987,4.32999992,13.3,1.083,60.66,39.75,60.65,40.0077,14991,3,728
"ORA","Aura Minerals Inc.",12.9,0.3,2.380952,12.52,13,11.78,12.5,13,12.4707812,12820,,0.19957099854946136,912577734,70742460,0.800000011,15.6,2.823,18.3,3.21,17.5419,3.3337,263519,285,27391
"DML","Denison Mines Corp.",1.26,-0.03,-2.325581,1.36,1.36,1.11,1.24,1.28,1.21766112,4028045,,1.9855120182037354,911544798,718828333,-0.019999999,-71.5,4.5,2.29,0.24,1.9651,0.2873,12608412,41775,967063
"CTS","Converge Technology Solutions Corp.",5.76,0.6,11.627907,5.1,5.78,4.58,5.73,5.79,5.16310144,956541,,1.8031539916992188,897294528,162905081,-0.039999999,-144,18.581,6.81,0.75,6.5668,0.7869,2234842,7580,433090
"SIS","Savaria Corporation",17.56,0.48,2.810304,17.21,17.65,17.03,17.4,17.66,17.2561952,140293,2.733,0.7106059789657593,894604876,51053942,0.550000011,32.3,3.193,18.64,7.31,18.0594,7.7914,858378,25976,141887
"SFC","Sagicor Financial Company Ltd.",5.99,0.04,0.672269,5.9,5.99,5.9,5.9,6,5.9675,1617,4.882,0.28084099292755127,893479697,148832286,0.150000005,,0.635,8.27,4.89,8.2471,4.9178,811274,2,22718
"CGX","Cineplex Inc.",14.07,-0.4,-2.76434,14.67,14.69,13.4,14.04,14.15,13.8867049,1774448,,3.2238221168518066,891098659,63333238,-9.9300003,-1.4,37.026,31.98,4.33,30.8294,4.5128,6534931,125076,1163885
"NUAG","New Pacific Metals Corp.",5.7,0.14,2.517986,5.45,5.81,5.13,5.58,6.49,5.45434115,216337,,1.2671300172805786,874777256,153549694,0.019999999,285,5.429,9.03,2.34,8.6066,2.817,5566604,11450,205746
"ABST","Absolute Software Corporation",17.59,-0.39,-2.169077,18.23,18.23,16.27,17.54,17.6,17.1788135,473113,1.819,0.8113309741020203,863963756,49064186,0.25999999,76.5,27.062,25,6.7,20.9949,7.3648,1384100,19207,213609
"EFX","Enerflex Ltd.",9.47,0.11,1.175214,9.55,9.67,9.38,9.42,9.51,9.4974507,908216,0.845,1.4966520071029663,849258662,89678845,0.980000019,9,0.608,9.68,4.18,9.4975,4.5168,4422851,100517,413312
"BTE","Baytex Energy Corp.",1.5,0.15,11.111111,1.41,1.52,1.39,1.49,1.5,1.46165995,13316145,,3.9137110710144043,841800000,561227367,-4.3499999,-0.3,1.456,1.52,0.27,1.4616,0.2874,31634597,521763,5657916
"MMX","Maverix Metals Inc.",5.98,0.05,0.84317,5.93,6.04,5.69,5.85,6.12,5.86097524,137843,0.848,0.9716830253601074,840120088,140457739,0.07,89.4,2.382,7.79,3.1,7.6255,3.7585,714213,14525,93776
"PSI","Pason Systems Inc.",9.96,-0.01,-0.100301,10.07,10.09,9.83,9.89,9.98,9.96249457,107940,2.008,1.9911210536956787,827566440,83088941,0.090000003,105.9,2.692,12.57,4.74,12.4497,5.0271,6955617,29968,306665
