Segment,Sector,Issuer Name,ISIN,Sedol,Security Type,MiFIR Identifier,Currency,Trading Parameter Code,Price Tick Table ID,Country of Register,Mnemonic,Short Name,Long Name,EMS,Max Spread Floor,Max Spread Perc.,ADT / PTS (EU),ADT / PTS (UK),Issuer Version Start Date
SET1,FS10,SCHRODERS PLC,GB0002405495,0240549,DE,SHRS,GBX,TP_2,TM_47,GB,SDR,SCHRODERS,VTG SHS Â£,750,1,5,35028724,35584736,15/08/2017
SET1,FS10,HALMA PLC,GB0004052071,0405207,DE,SHRS,GBX,TP_2,TM_47,GB,HLMA,HALMA,ORD 10P,1000,1,5,67201766,68268461,18/12/2017
SET1,FS10,MORRISON(WM.)SUPERMARKETS PLC,GB0006043169,0604316,DE,SHRS,GBX,TP_2,TM_47,GB,MRW,MORRISON (WM),ORD 10P,7500,1,5,64132448,65150424,28/06/2018
SET1,FS10,PEARSON PLC,GB0006776081,0677608,DE,SHRS,GBX,TP_2,TM_47,GB,PSON,PEARSON,ORD 25P,2000,1,5,75782207,76985099,15/08/2017
SET1,FS10,PERSIMMON PLC,GB0006825383,0682538,DE,SHRS,GBX,TP_2,TM_47,GB,PSN,PERSIMMON,ORD 10P,750,1,5,107689799,109399162,24/10/2017
SET1,FS10,ST.JAMES'S PLACE PLC,GB0007669376,0766937,DE,SHRS,GBX,TP_2,TM_47,GB,STJ,ST.JAMES'S PLAC,ORD 15P,2000,1,5,59367695,60295507,28/03/2018
SET1,FS10,SMITH (DS) PLC,GB0008220112,0822011,DE,SHRS,GBX,TP_2,TM_47,GB,SMDS,SMITH(DS),ORD 10P,5000,1,5,59461823,60405662,07/03/2018
SET1,FS10,TAYLOR WIMPEY PLC,GB0008782301,0878230,DE,SHRS,GBX,TP_2,TM_47,GB,TW.,TAYLOR WIMPEY,ORD 1P,10000,1,5,85731124,87091936,15/08/2017
SET1,FS10,SMITH & NEPHEW PLC,GB0009223206,0922320,DE,SHRS,GBX,TP_2,TM_47,GB,SN.,SMITH&NEPHEW,ORD USD0.20,1000,1,5,132218702,134317412,14/12/2020
SET1,FS10,BT GROUP PLC,GB0030913577,3091357,DE,SHRS,GBX,TP_2,TM_47,GB,BT.A,BT GROUP,ORD 5P,7500,1,5,158767533,161287653,16/03/2020
SET1,FS10,INTERTEK GROUP PLC,GB0031638363,3163836,DE,SHRS,GBX,TP_2,TM_47,GB,ITRK,INTERTEK GROUP,ORD 1P,300,1,5,68155444,69237277,15/08/2017
SET1,FS10,BURBERRY GROUP PLC,GB0031743007,3174300,DE,SHRS,GBX,TP_2,TM_47,GB,BRBY,BURBERRY GRP,ORD 0.05P,1000,1,5,108609778,110333744,15/08/2017
SET1,FS10,NEXT PLC,GB0032089863,3208986,DE,SHRS,GBX,TP_2,TM_47,GB,NXT,NEXT,ORD 10P,300,1,5,111572586,113343580,15/08/2017
SET1,FS10,KINGFISHER PLC,GB0033195214,3319521,DE,SHRS,GBX,TP_2,TM_47,GB,KGF,KINGFISHER,ORD 15 5/7P,7500,1,5,60320410,61277877,22/06/2020
SET1,FS10,SAINSBURY(J) PLC,GB00B019KW72,B019KW7,DE,SHRS,GBX,TP_2,TM_47,GB,SBRY,SAINSBURY(J),ORD 28 4/7P,7500,1,5,80985765,82271254,04/12/2017
SET1,FS10,ADMIRAL GROUP PLC,GB00B02J6398,B02J639,DE,SHRS,GBX,TP_2,TM_47,GB,ADM,ADMIRAL GRP,ORD 0.1P,750,1,5,45172068,45889086,15/08/2017
SET1,FS10,BERKELEY GROUP HOLDINGS (THE) PLC,GB00B02L3W35,B02L3W3,DE,SHRS,GBX,TP_2,TM_47,GB,BKG,BERKELEY GP.HLD,ORD SHS 5P,500,1,5,72436818,73586609,04/12/2017
SET1,FS10,BUNZL PLC,GB00B0744B38,B0744B3,DE,SHRS,GBX,TP_2,TM_47,GB,BNZL,BUNZL,ORD 32 1/7P,1000,1,5,69416365,70518213,04/12/2017
SET1,FS10,RENTOKIL INITIAL PLC,GB00B082RF11,B082RF1,DE,SHRS,GBX,TP_2,TM_47,GB,RTO,RENTOKIL INITL.,ORD 1P,3000,1,5,79194774,80451835,29/03/2018
SET1,FS10,HIKMA PHARMACEUTICALS PLC,GB00B0LCW083,B0LCW08,DE,SHRS,GBX,TP_2,TM_47,GB,HIK,HIKMA,ORD SHS 10P,1000,1,5,32879488,33401385,23/09/2019
SET1,FS10,PENNON GROUP PLC,GB00B18V8630,B18V863,DE,SHRS,GBX,TP_2,TM_47,GB,PNN,PENNON GROUP,ORD 40.7P,2000,1,5,30123037,30601181,23/03/2020
SET1,FS10,SEVERN TRENT PLC,GB00B1FH8J72,B1FH8J7,DE,SHRS,GBX,TP_2,TM_47,GB,SVT,SEVERN TRENT,ORD 97 17/19P,1000,1,5,58661100,59672920,27/04/2018
SET1,FS10,WHITBREAD PLC,GB00B1KJJ408,B1KJJ40,DE,SHRS,GBX,TP_2,TM_47,GB,WTB,WHITBREAD,ORD 76 122/153P,500,1,5,163254490,165845832,19/01/2018
