Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
Casa,C04,CASA.SI,14.058,14.699,9.17,7.46,Cyclical Consumer Products,43
CDL HTrust,J85,CDLT.SI,1567.387,117.558,,4.37,Real Estate,85.9
CDW,BXE,CDWH.SI,68.088,148.594,31.8,5.61,Technology Equipment,85
CEI,AVV,CEII.SI,104.642,123.489,17.15,4.55,Technology Equipment,79
Centurion,OU8,CNCL.SI,290.069,128.355,16.9,,Real Estate,89
CFM,5EB,CFMH.SI,6.449,18.642,,,Industrial Goods,71
CH Offshore,C13,CHOF.SI,33.844,25.138,,,Energy - Fossil Fuels,62
Challenger,573,CHAL.SI,205.399,270.84,8.84,4.54,Retailers,73
Charisma Energy,5QT,CHAR.SI,26.073,18.007,,,Utilities,52
Chasen,5NV,CHHL.SI,24.11,103.136,,,Transportation,87
ChasWood Res,5TW,CHAS.SI,2.212,0.558,,,Cyclical Consumer Services,41
Chemical Ind,C05,CHEM.SI,55.06,61.654,10.45,2.07,Chemicals,46
Cheung Woh,C50,CHWO.SI,46.963,41.858,,3.33,Industrial Goods,69
China Aviation,G92,CNAO.SI,996.111,13974.93,13.25,2.24,Energy - Fossil Fuels,84
China Env,5OU,CHEN.SI,30.422,1.196,,,Industrial & Commercial Services,59
China Env Res,RS1,1130.HK,169.033,70.194,,,Industrial & Commercial Services,
China Everbright,U9E,CEWL.SI,1463.826,969.616,4.16,6.71,Utilities,83
China Fishery,B0Z,CNFG.SI,264.891,647.963,,,Food & Beverages,45
China Haida,C92,CHHA.SI,1.02,6.271,,,Mineral Resources,68
China Intl,BEH,CHNA.SI,24.932,,,,Industrial & Commercial Services,59
China Mining,BHD,CMIL.SI,8.8,0.645,,,Real Estate,57
China Paper,C71,CPHL.SI,42.879,149.179,,,Applied Resources,26
China Sky Chem,E90,CSKY.SI,23.622,325.054,,,Cyclical Consumer Products,12
China Sports,FQ8,CSIL.SI,12.501,52.756,,,Cyclical Consumer Products,44
China Star Food,42W,CHIA.SI,30.05,51.904,,,Food & Beverages,48
China Yuanbang,BCD,CYBP.SI,24.29,112.807,2.28,,Real Estate,64
ChinaKangdaFood,P74,0834.HK,164.52,1816.471,,,Food & Beverages,56
ChinaKundaTech,GU5,CKUN.SI,11.065,6.644,,,Automobiles & Auto Parts,70
ChinaSunsine,QES,CHSN.SI,560.531,477.212,12.39,1.75,Chemicals,
Chip Eng Seng,C29,CESE.SI,407.889,674.633,,4.04,Real Estate,85
Choo Chiang,42E,CHOO.SI,49.92,,,2.92,Industrial Goods,46
Chuan Hup,C33,CHHS.SI,213.503,34.668,,4.35,Real Estate,63
CityDev,C09,CTDM.SI,7301.689,2108.426,,1,Real Estate,125
Civmec,P9D,CIVM.SI,283.121,545.333,11.23,2.72,Industrial & Commercial Services,83
Clearbridge,1H3,CLEA.SI,93.817,36.258,117.83,,Healthcare Services,70
CNMC Goldmine,5TP,CNMC.SI,91.731,31.728,,,Mineral Resources,79
Colex,567,COLX.SI,27.83,,,2.14,Industrial & Commercial Services,60
Combine Will,N0Z,CWIHx.SI,27.478,163.863,5.19,5.88,Cyclical Consumer Products,64
ComfortDelGro,C52,CMDG.SI,3857.222,3228.6,63.23,0.8,Transportation,110
