Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
Venture,V03,VENM.SI,5900.943,3012.894,19.81,3.7,Technology Equipment,94
Versalink,40N,VERS.SI,12.555,12.407,,,Industrial & Commercial Services,65
Vibrant Group,BIP,VIBR.SI,70.493,145.15,,,Transportation,46
VibroPower,BJD,VIBO.SI,4.711,,,,Industrial Goods,69
VICOM Ltd,WJP,VCOM.SI,772.958,86.452,31.57,2.85,Industrial & Commercial Services,
Vicplas Intl,569,VICP.SI,125.045,98.199,16.52,1.53,Healthcare Services,52
Viking Offshore,557,VIKO.SI,4.338,17.416,,,Energy - Fossil Fuels,71
Vividthree,OMK,VIVI.SI,17.035,2.995,,,Cyclical Consumer Services,46
Wee Hur,E3B,WHHL.SI,196.542,189.945,6.78,2.38,Industrial & Commercial Services,63
Willas-Array,BDR,0854.HK,270.106,3401.36,5.69,,Technology Equipment,72
Wilmar Intl,F34,WLIL.SI,34578.371,67140,16.84,2.41,Food & Beverages,78
Wilton Resources,5F7,WILT.SI,77,0.475,,,Mineral Resources,61
Wing Tai,W05,WTHS.SI,1540.219,430.949,137.39,1.55,Real Estate,91
Winmark Inv,40R,WINM.SI,159.005,4.23,,,Industrial & Commercial Services,15
Wong Fong Ind,1A1,WONG.SI,38.775,,,3.15,Industrial Goods,67
World Class Gbl,1E6,WORL.SI,108.073,,,,Real Estate,62
World Precision,B49,WPML.SI,180,210.492,24.06,3.42,Industrial Goods,56
XMH,BQF,XMHL.SI,14.887,53.313,,,Industrial Goods,64
Y Ventures,1F1,YVEN.SI,17.4,46.533,16.83,,Software & IT Services,67
Yamada Green Res,BJV,YAMR.SI,57.404,13.202,,,Food & Beverages,33
Yanlord Land,Z25,YNLG.SI,2572.332,4891.02,4.81,5.15,Real Estate,58
Yeo Hiap Seng,Y03,YHSS.SI,521.92,321.868,,2.22,Food & Beverages,73
YHI Intl,BPF,YHII.SI,146.148,422.795,7.61,6.6,Automobiles & Auto Parts,61
Yinda Infocomm,42F,YIND.SI,93.206,6.165,,,Telecommunications Services,68
Ying Li Intl,5DM,YING.SI,196.892,47.244,,,Real Estate,66
Yoma Strategic,Z59,YOMA.SI,322.196,137.342,,,Real Estate,101
Yongmao,BKX,YNMH.SI,57.688,160.532,8.49,1.54,Industrial Goods,64
Yongnam,AXB,YNAM.SI,42.853,92.85,,,Industrial & Commercial Services,71
Yunnan Energy,T43,1298.HK,440.699,60.988,,,Technology Equipment,43
YuuZoo Networks,AFC,YUUZ.SI,29.028,15.733,,,Software & IT Services,-12
YZJ Shipbldg CNY,SO7,,,,,,,
YZJ Shipbldg SGD,BS6,YAZG.SI,5404.745,3034.898,10.33,3.31,Industrial Goods,74
Zheneng Jinjiang,BWM,ZHEN.SI,574.34,,,,Industrial & Commercial Services,70
Zhongmin Baihui,5SR,ZBRG.SI,149.203,251.571,12.75,3.95,Retailers,63
Zhongxin Fruit,5EG,ZHON.SI,36.941,23.564,,,Food & Beverages,52
ZICO Hldgs,40W,ZICO.SI,29.55,,,,Banking & Investment Services,64
